"Authorization","Autorisierung"
"The mode 'ReadWrite' will only work if the parameter 'BILLING_ADDR' was set by mPAY24. Please contact the mPAY24 Support: support@mpay24.com!", "Der Modus 'ReadWrite' kann nur dann funktionieren, wenn der Parameter 'BILLING_ADDR', von mPAY24 gesetzt ist. Bitte kontaktieren Sie den mPAY24 Supprt: support@mpay24.com!"
"Payment system selection", "Zahlungssystemauswahl"
"Default mPAY24 configuration", "mPAY24 Konfiguration"
"Your customers can choose the payment system in the shop only by 'Custom configuration'! The payment systems will be synchronized when the settings are saved!", "Nur bei 'Angepasste Konfiguration' können Ihre Kunden das Zahlungssystem im Shop auswählen! Die bei mPAY24 konfigurierten Zahlungssystemen werden beim Speichern synchronisert!"
"You can choose the payment system you want to use after you are redirected to the mPAY24 pay page after placing the order.", "Sie können Ihre Zahlungssystemauswahl treffen, wenn Sie zur mPAY24 Bezahlseite weitergeleitet werden, nachdem Sie Ihre Bestellung bestätigen."
"The payment systems will be synchronized when the settings are saved!", "Die bei mPAY24 konfigurierten Zahlungssystemen werden beim Speichern synchronisert!"
"Allowed IPs for the Confirmation", "Erlaubte IPs für die für die Confirmation"
"Forced pre-selection", "Zwangsvorauswahl"
"Your customers must choose the payment system before they are forwarded to mPAY24 in order to be possible to charge the specific payment system.", "Ihre Kunden werden gezwungen das Zahlungssystem auszuwählen, bevor sie zu mPAY24 weitergeleitet werden, damit Sie eine Zahlungsgebühr  verrechnen können."
"Percent", "Prozent"
"Absolute value", "Absoluter Wert"
"Payment charge type", "Zahlungsgebührtyp"
"Payment charge", "Zahlungsgebühr"
"Payment discount", "Zahlungsrabatt"
"Payment charge/discount", "Zahlungs-gebühr/-rabatt"
"Please choose a payment system from the drop down menu...", "Bitte wählen Sie ein Zahlungssystem von dem Drop-Down-Menü..."
"Please click an icon to choose a payment system...", "Bitte wählen Sie das gewünschte Zahlungssystem, per Klick auf das jeweilige Icon..."
"Use proxy authentication","Proxy-Authenitifizierung verwenden"
"Proxy User","Proxy-Benutzer"
"Proxy Password","Proxy-Passwort"
"cURL: Verify the peer's certificate","cURL: Peers Zertifikate verfizieren"
"SOFORT Banking end-state", "SOFORT Überweisung Endstatus"
"You will be redirected to the mPAY24 pay page...", "Sie werden zur Bezahlseite von mPAY24 weitergeleitet..."
"Please choose a payment system...", "Bitte wählen Sie ein Zahlungssystem..."
"Forced preselection", "Zwangsvorauswahl"
"Account holder", "Kontoinhaber"
"Account number", "IBAN"
"Bank code", "BIC"
"Bank name", "Bankname"
"Reference", "Referenz"
"ONLY FOR 'SOFORT Überweisung' merchants: Please contact support@mpay24.com for more information!","NUR FÜR 'SOFORT Überweisung' Händler: Für weitere Informationen, kontaktieren Sie bitte support@mpay24.com!"
"The 'AMEX_ADDR_VER' parameter was not returned!", "Der 'AMEX_ADDR_VER' Parameter wurde nicht retourniert!"
"The 'AMEX_CVC_VER' parameter was not returned!", "Der 'AMEX_CVC_VER' Parameter wurde nicht retourniert!"
"Unknown returned value:", "Unbekannter retournierter Wert:"
"Yes, Customer Address and Postal Code are both correct.", "Ja, die Rechnungsadresse und die Postleitzahl sind jeweils korrekt."
"No, Customer Address and Postal Code are both incorrect.", "Nein, die Rechnungsadresse und die Postleitzahl sind jeweils inkorrekt."
"Customer Address only correct.", "Nur die Rechnungsadresse ist korrekt."
"Customer Postal Code only correct.", "Nur die Postleitzahl ist korrekt."
"Information unavailable.", "Keine Informationen verfügbar."
"SE not allowed AAV function.", "Address Verifizierung nicht gestattet."
"System unavailable; retry.", "Eine Prüfung der Adresse konnte nicht durchgeführt werden."
"Customer Name and Postal Code match.", "Kundenname und die Postleitzahl stimmen überein."
"Customer Name, Address and Postal Code match.", "Kundenname, die Rechnungsadresse und die Postleitzahl stimmen überein."
"Customer Name and Address match.", "Kundenname und die Rechnungsadresse stimmen überein."
"Customer Name matches.", "Kundenname stimmt überein."
"Customer Name incorrect, Postal Code matches.", "Kundenname inkorrekt, die Postleitzahl stimmt überein."
"Customer Name incorrect, Address and Postal Code match.", "Kundenname inkorrekt, die Rechnungsadresse und die Postleitzahl stimmen überein."
"Customer Name incorrect, Address matches.", "Kundenname inkorrekt, die Rechnungsadresse stimmt überein."
"No, Customer Name, Address and Postal Code are all incorrect.", "Nein, Kundenname, die Rechnungsadresse und die Postleitzahl sind jeweils inkorrekt."
"CID/4DBC/4CSC matched.", "CID/4DBC/4CSC stimmte überein."
"CID/4DBC/4CSC did not match.", "CID/4DBC/4CSC stimmte nicht überein."
"CID/4DBC/4CSC was not checked.", "CID/4DBC/4CSC wurde nicht überprüft."
"Notifies for FALSE NOK transactions", "Benachrichtigung bzgl. NOK-Transaktionsstatus"
"Notifies the shop admin in case a SUCCESSFUL confirmation occurs for an already canceled order.", "Benachrichtigt den Shopbetreiber, wenn eine Zahlungsbestätigung für eine bereits stornierte Bestellung erfolgt."
"A SUCCESSFUL confirmation occured for an already canceled order!", "Eine Zahlungsbestätigung wurde für eine bereits stornierte Bestellung empfangen!"
"ATTENTION! - It is possible that the payment for the order ID '", "ACHTUNG! - Es ist möglich, dass die Zahlung für die Bestellung mit der ID '"
"' was SUCCESSFUL, although the order is set as 'Canceled'! Please check in the mPAY24 Merchant Interface (https://www.mpay24.com) whether the amount was BILLED!", "' erfolgreich war, obwohl die Bestellung als 'Storniert' markiert wurde! Bitte überprüfen Sie im mPAY24 Händlerportal (https://www.mpay24.com) ob der Betrag gebucht wurde!"
"The payment was not successful! ", "Es ist ein Fehler bei der Bezahlung aufgetreten! "
"Please try again or choose a different payment method.", "Bitte versuchen Sie es erneut, oder wählen Sie ein anderes Zahlungssystem."
"Redirected to an external page", "Weitergeleitet zu einer externen Seite"
"Credit cards", "Kreditkarten"
